,model,iteration,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,1,1,13.16,10.4,17.25,12.12,47.43,19.58,0.9,2.96,4.49,3.4,4.07,1,,,,,,,,4.54
1,1,2,11.31,8.69,9.15,12.37,43.6,18.69,0.98,34.35,6.69,32.31,32.3,1.11,,,,,,,,4.07
2,1,3,12.91,9.28,13.37,11.39,48.1,18.94,0.97,2.01,3.62,4.27,4.14,1.02,,,,,,,,4.96
3,2,1,72.33,43.55,81.8,86.54,162.34,66.3,2.68,31.84,5.14,0.04,135.36,23.93,,,,,,,4.94,46.18
4,2,2,43.19,43.41,60.74,44.61,119.79,39.08,7.66,16.05,0.54,3.22,122.86,20.14,,,,,,,3.584,32.7
5,2,3,13.09,8.52,9.51,11.57,37.61,18.43,0.88,17.37,8.78,6.79,17.64,1.08,,,,,,,,4.17
6,3,1,10.48,13.37,11.97,10.3,18.28,14.45,1.33,8.08,1.4,12.65,10.24,2,7.3,7.45,7.55,16.84,15.38,10.88,,4.56
7,3,2,8.35,12.9,10.34,8.96,5.78,15.58,1.33,3.84,31.37,9.73,12.13,5.73,6.41,10.38,12.78,13.2,18.11,11.39,,2.86
8,3,3,6.45,9.11,4.09,39.59,6.42,18.51,5.27,5.96,3.18,4.75,10.72,0.83,8.99,1.94,1.18,11.79,7.2,9.97,,2.77
9,4,1,33.02,32.52,34.97,32.14,72.82,39.82,31.04,16.73,19.39,45.08,33.89,5.47,,,,,,,0.934,6.81
10,4,2,5.77,0.57,0.02,18.7,12.42,17.46,14.18,23.58,21.37,2.91,7.39,1.35,,,,,,,0.001,5.6
11,4,3,9.25,5.85,14.76,25.64,42.6,15.01,19.81,22.83,21,28.58,79.31,11.62,,,,,,,0.499,11.9
12,5,1,10.56,9.6,11.72,7.19,44.54,18.46,1,0.82,5.44,6.02,5.15,0.98,,,,,,,,5.27
13,5,2,11.66,4.92,11.8,8.02,15.4,18.25,0.91,6.24,0.61,9.88,8.99,1.05,,,,,,,,5.13
14,5,3,10.51,8.59,11.96,14.67,42.22,19.17,0.91,3.86,2.72,5.77,5.44,1.03,,,,,,,,5.14
15,6,1,44.72,29.04,55.22,16.1,16.56,25.92,39.31,20.38,31.85,22.56,33.88,35.21,0.18,0.2,0.61,0.19,4.73,0.65,5.678,14.34
16,6,2,10.98,23.96,35.78,26.38,71.73,26.46,18.6,15.54,29.72,23.36,79.21,23.77,0.37,5.4,1.01,0.83,4.61,6.19,3.447,63.11
17,6,3,26.54,28.91,54.25,11.79,64.79,31.3,20.07,16.41,24.58,20.43,64.63,23.68,4.98,0.36,0.3,0.17,5.13,5.82,2.59,119.14
18,7,1,4.36,0.84,4.59,0.38,1.78,15.33,,,,,,,0.036,0.041,0.032,0.038,0.052,0.038,0.3,17.65
19,7,2,4.04,0.99,2.65,0.54,0.76,13.41,,,,,,,0.036,0.041,0.032,0.038,0.052,0.038,0.3,18.7
20,7,3,4.46,0.94,3.36,0.56,2.41,14.9,,,,,,,0.068*,0.073*,0.064*,0.07*,0.083*,0.07*,0.3,18.09
21,8,1,10.69,4.9,-1.28,3.9,5.31,16.14,,,,,,,,,,,,,,
22,8,2,11.14,5.01,-2.57,4.04,5.53,15.71,,,,,,,,,,,,,,
23,8,3,10.65,4.96,-1.13,3.92,5.25,14.61,,,,,,,,,,,,,,
24,9,1,10.54,4.85,-2.19,3.8,5.38,15.96,,,,,,,,,,,,,,
25,9,2,9.66,4.57,-1.97,3.62,5.03,15.93,,,,,,,,,,,,,,
26,9,3,10.78,5.51,-2.89,4.44,5.91,15.34,,,,,,,,,,,,,,
